match_id,season,round,home_team,away_team,home_win_rate_last_5,away_win_rate_last_5,home_avg_score_last_5,away_avg_score_last_5,home_avg_margin_last_5,away_avg_margin_last_5,home_win_rate_last_3,away_win_rate_last_3,home_avg_score_last_3,away_avg_score_last_3,home_avg_margin_last_3,away_avg_margin_last_3,win_rate_diff,avg_margin_diff,head_to_head_win_rate,venue_home_win_rate,days_since_last_game_home,days_since_last_game_away,home_ladder_position,away_ladder_position,margin,home_win
8860,2010,1,Richmond,Carlton,,,,,,,,,,,,,,,,,,,10.0,10.0,-56.0,0
8861,2010,1,Geelong,Essendon,,,,,,,,,,,,,,,,,,,10.0,10.0,31.0,1
8862,2010,1,Melbourne,Hawthorn,,,,,,,,,,,,,,,,,,,10.0,10.0,-56.0,0
8864,2010,1,Brisbane Lions,West Coast,,,,,,,,,,,,,,,,,,,10.0,10.0,32.0,1
8863,2010,1,Sydney,St Kilda,,,,,,,,,,,,,,,,,,,10.0,10.0,-8.0,0
8865,2010,1,Port Adelaide,North Melbourne,,,,,,,,,,,,,,,,,,,10.0,10.0,14.0,1
8866,2010,1,Western Bulldogs,Collingwood,,,,,,,,,,,,,,,,,,,10.0,10.0,-36.0,0
8867,2010,1,Fremantle,Adelaide,,,,,,,,,,,,,,,,,,,10.0,10.0,56.0,1
8868,2010,2,Brisbane Lions,Carlton,1.0,1.0,114.0,120.0,32.0,56.0,1.0,1.0,114.0,120.0,32.0,56.0,0.0,-24.0,,1.0,5.0,7.0,1.0,2.0,19.0,1
8869,2010,2,Collingwood,Melbourne,1.0,0.0,129.0,61.0,36.0,-56.0,1.0,0.0,129.0,61.0,36.0,-56.0,1.0,92.0,,,6.0,7.0,3.0,10.0,1.0,1
8871,2010,2,West Coast,Port Adelaide,0.0,1.0,82.0,96.0,-32.0,14.0,0.0,1.0,82.0,96.0,-32.0,14.0,-1.0,-46.0,,,6.0,6.0,10.0,7.0,-3.0,0
8870,2010,2,St Kilda,North Melbourne,1.0,0.0,96.0,82.0,8.0,-14.0,1.0,0.0,96.0,82.0,8.0,-14.0,1.0,22.0,,,7.0,6.0,8.0,10.0,104.0,1
8872,2010,2,Adelaide,Sydney,0.0,0.0,62.0,88.0,-56.0,-8.0,0.0,0.0,62.0,88.0,-56.0,-8.0,0.0,-48.0,,,6.0,7.0,10.0,10.0,-43.0,0
8873,2010,2,Essendon,Fremantle,0.0,1.0,94.0,118.0,-31.0,56.0,0.0,1.0,94.0,118.0,-31.0,56.0,-1.0,-87.0,,,8.0,6.0,10.0,4.0,-44.0,0
8874,2010,2,Richmond,Western Bulldogs,0.0,0.0,64.0,93.0,-56.0,-36.0,0.0,0.0,64.0,93.0,-56.0,-36.0,0.0,-20.0,,0.0,9.0,7.0,10.0,10.0,-72.0,0
8875,2010,2,Hawthorn,Geelong,1.0,1.0,117.0,125.0,56.0,31.0,1.0,1.0,117.0,125.0,56.0,31.0,0.0,25.0,,,9.0,9.0,6.0,5.0,-9.0,0
8876,2010,3,St Kilda,Collingwood,1.0,1.0,119.5,107.5,56.0,18.5,1.0,1.0,119.5,107.5,56.0,18.5,0.0,37.5,,1.0,6.0,6.0,3.0,2.0,28.0,1
8877,2010,3,North Melbourne,West Coast,0.0,0.0,60.5,84.0,-59.0,-17.5,0.0,0.0,60.5,84.0,-59.0,-17.5,0.0,-41.5,,,6.0,6.0,10.0,10.0,25.0,1
8878,2010,3,Port Adelaide,Brisbane Lions,1.0,1.0,92.5,110.5,8.5,25.5,1.0,1.0,92.5,110.5,8.5,25.5,0.0,-17.0,,1.0,6.0,8.0,6.0,1.0,-27.0,0
8879,2010,3,Carlton,Essendon,0.5,0.0,104.0,81.5,18.5,-37.5,0.5,0.0,104.0,81.5,18.5,-37.5,0.5,56.0,,,8.0,6.0,7.0,10.0,-20.0,0
8880,2010,3,Sydney,Richmond,0.5,0.0,103.0,56.0,17.5,-64.0,0.5,0.0,103.0,56.0,17.5,-64.0,0.5,81.5,,,6.0,6.0,9.0,10.0,55.0,1
8881,2010,3,Melbourne,Adelaide,0.0,0.0,73.0,68.5,-28.5,-49.5,0.0,0.0,73.0,68.5,-28.5,-49.5,0.0,21.0,,0.0,7.0,7.0,10.0,10.0,16.0,1
8882,2010,3,Western Bulldogs,Hawthorn,0.5,0.5,106.5,104.0,18.0,23.5,0.5,0.5,106.5,104.0,18.0,23.5,0.0,-5.5,,0.0,6.0,6.0,10.0,8.0,16.0,1
8883,2010,3,Fremantle,Geelong,1.0,1.0,115.5,112.5,50.0,20.0,1.0,1.0,115.5,112.5,50.0,20.0,0.0,30.0,,1.0,7.0,6.0,4.0,5.0,7.0,1
8884,2010,4,West Coast,Essendon,0.0,0.3333333333333333,86.33333333333333,86.0,-20.0,-18.333333333333332,0.0,0.3333333333333333,86.33333333333333,86.0,-20.0,-18.333333333333332,-0.3333333333333333,-1.6666666666666679,,0.0,6.0,5.0,10.0,10.0,23.0,1
8885,2010,4,North Melbourne,Sydney,0.3333333333333333,0.6666666666666666,79.0,105.66666666666667,-31.0,30.0,0.3333333333333333,0.6666666666666666,79.0,105.66666666666667,-31.0,30.0,-0.3333333333333333,-61.0,,1.0,7.0,6.0,11.0,7.0,-40.0,0
8886,2010,4,Adelaide,Carlton,0.0,0.3333333333333333,59.333333333333336,94.33333333333333,-38.333333333333336,5.666666666666667,0.0,0.3333333333333333,59.333333333333336,94.33333333333333,-38.333333333333336,5.666666666666667,-0.3333333333333333,-44.0,,0.0,6.0,6.0,10.0,9.0,-48.0,0
8888,2010,4,Brisbane Lions,Western Bulldogs,1.0,0.6666666666666666,109.66666666666667,104.33333333333333,26.0,17.333333333333332,1.0,0.6666666666666666,109.66666666666667,104.33333333333333,26.0,17.333333333333332,0.33333333333333337,8.666666666666668,,1.0,7.0,6.0,1.0,6.0,22.0,1
8887,2010,4,Collingwood,Hawthorn,0.6666666666666666,0.3333333333333333,85.33333333333333,97.33333333333333,3.0,10.333333333333334,0.6666666666666666,0.3333333333333333,85.33333333333333,97.33333333333333,3.0,10.333333333333334,0.3333333333333333,-7.333333333333334,,1.0,7.0,6.0,5.0,12.0,64.0,1
8889,2010,4,Richmond,Melbourne,0.0,0.3333333333333333,56.0,67.66666666666667,-61.0,-13.666666666666666,0.0,0.3333333333333333,56.0,67.66666666666667,-61.0,-13.666666666666666,-0.3333333333333333,-47.333333333333336,,0.0,7.0,7.0,10.0,13.0,-55.0,0
8890,2010,4,Geelong,Port Adelaide,0.6666666666666666,0.6666666666666666,114.33333333333333,88.66666666666667,11.0,-3.3333333333333335,0.6666666666666666,0.6666666666666666,114.33333333333333,88.66666666666667,11.0,-3.3333333333333335,0.0,14.333333333333334,,,6.0,7.0,4.0,8.0,95.0,1
8891,2010,4,St Kilda,Fremantle,1.0,1.0,102.66666666666667,118.66666666666667,46.666666666666664,35.666666666666664,1.0,1.0,102.66666666666667,118.66666666666667,46.666666666666664,35.666666666666664,0.0,11.0,,1.0,8.0,7.0,3.0,2.0,15.0,1
8892,2010,5,Western Bulldogs,Adelaide,0.5,0.0,98.0,58.25,7.5,-40.75,0.6666666666666666,0.0,99.66666666666667,57.0,22.0,-35.666666666666664,0.5,48.25,,0.5,6.0,6.0,7.0,10.0,49.0,1
