winnerteamid,localtime,tz,date,id,agoals,hteam,ateam,hgoals,updated,is_grand_final,abehinds,complete,ateamid,hteamid,roundname,hbehinds,unixtime,venue,winner,ascore,round,year,is_final,hscore,timestr,season
3.0,2010-03-25 19:10:00,+11:00,2010-03-25 19:10:00,8860,18,Richmond,Carlton,9,2022-01-25 11:05:42,0,12,100,3,14,Round 1,10,1269504600,M.C.G.,Carlton,120,1,2010,0,64,Full Time,2010
7.0,2010-03-26 19:40:00,+11:00,2010-03-26 19:40:00,8861,13,Geelong,Essendon,19,2022-01-25 11:05:42,0,16,100,5,7,Round 1,11,1269592800,M.C.G.,Geelong,94,1,2010,0,125,Full Time,2010
10.0,2010-03-27 14:10:00,+11:00,2010-03-27 14:10:00,8862,17,Melbourne,Hawthorn,8,2022-01-25 11:05:42,0,15,100,10,11,Round 1,13,1269659400,M.C.G.,Hawthorn,117,1,2010,0,61,Full Time,2010
2.0,2010-03-27 18:10:00,+11:00,2010-03-27 19:10:00,8864,12,Brisbane Lions,West Coast,16,2022-01-25 11:05:42,0,10,100,17,2,Round 1,18,1269677400,Gabba,Brisbane Lions,82,1,2010,0,114,Full Time,2010
15.0,2010-03-27 19:10:00,+11:00,2010-03-27 19:10:00,8863,15,Sydney,St Kilda,13,2022-01-25 11:05:42,0,6,100,15,16,Round 1,10,1269677400,Stadium Australia,St Kilda,96,1,2010,0,88,Full Time,2010
13.0,2010-03-28 12:10:00,+11:00,2010-03-28 12:40:00,8865,12,Port Adelaide,North Melbourne,13,2022-01-25 11:05:42,0,10,100,12,13,Round 1,18,1269740400,Football Park,Port Adelaide,82,1,2010,0,96,Full Time,2010
4.0,2010-03-28 14:10:00,+11:00,2010-03-28 14:10:00,8866,19,Western Bulldogs,Collingwood,13,2022-01-25 11:05:42,0,15,100,4,18,Round 1,15,1269745800,Docklands,Collingwood,129,1,2010,0,93,Full Time,2010
6.0,2010-03-28 14:10:00,+11:00,2010-03-28 17:10:00,8867,9,Fremantle,Adelaide,17,2022-01-25 11:05:42,0,8,100,1,6,Round 1,16,1269756600,Subiaco,Fremantle,62,1,2010,0,118,Full Time,2010
2.0,2010-04-01 18:40:00,+11:00,2010-04-01 19:40:00,8868,12,Brisbane Lions,Carlton,16,2022-01-25 11:05:42,0,16,100,3,2,Round 2,11,1270111200,Gabba,Brisbane Lions,88,2,2010,0,107,Full Time,2010
4.0,2010-04-03 14:10:00,+11:00,2010-04-03 14:10:00,8869,12,Collingwood,Melbourne,12,2022-01-25 11:05:42,0,13,100,11,4,Round 2,14,1270264200,M.C.G.,Collingwood,85,2,2010,0,86,Full Time,2010
13.0,2010-04-03 14:40:00,+11:00,2010-04-03 17:40:00,8871,13,West Coast,Port Adelaide,12,2022-01-25 11:05:42,0,11,100,13,17,Round 2,14,1270276800,Subiaco,Port Adelaide,89,2,2010,0,86,Full Time,2010
15.0,2010-04-03 19:10:00,+11:00,2010-04-03 19:10:00,8870,6,St Kilda,North Melbourne,23,2022-01-25 11:05:42,0,3,100,12,15,Round 2,5,1270282200,Docklands,St Kilda,39,2,2010,0,143,Full Time,2010
16.0,2010-04-04 12:10:00,+10:00,2010-04-04 12:40:00,8872,18,Adelaide,Sydney,11,2022-01-25 11:05:42,0,10,100,16,1,Round 2,9,1270348800,Football Park,Sydney,118,2,2010,0,75,Full Time,2010
6.0,2010-04-04 14:10:00,+10:00,2010-04-04 14:10:00,8873,17,Essendon,Fremantle,9,2022-01-25 11:05:42,0,11,100,6,5,Round 2,15,1270354200,Docklands,Fremantle,113,2,2010,0,69,Full Time,2010
18.0,2010-04-04 16:40:00,+10:00,2010-04-04 16:40:00,8874,17,Richmond,Western Bulldogs,7,2022-01-25 11:05:42,0,18,100,18,14,Round 2,6,1270363200,M.C.G.,Western Bulldogs,120,2,2010,0,48,Full Time,2010
7.0,2010-04-05 14:10:00,+10:00,2010-04-05 14:10:00,8875,14,Hawthorn,Geelong,13,2022-01-25 11:05:42,0,16,100,7,10,Round 2,13,1270440600,M.C.G.,Geelong,100,2,2010,0,91,Full Time,2010
15.0,2010-04-09 19:40:00,+10:00,2010-04-09 19:40:00,8876,4,St Kilda,Collingwood,10,2022-01-25 11:05:42,0,17,100,4,15,Round 3,9,1270806000,Docklands,St Kilda,41,3,2010,0,69,Full Time,2010
12.0,2010-04-10 14:10:00,+10:00,2010-04-10 14:10:00,8877,13,North Melbourne,West Coast,17,2022-01-25 11:05:42,0,13,100,17,12,Round 3,14,1270872600,Docklands,North Melbourne,91,3,2010,0,116,Full Time,2010
2.0,2010-04-10 14:10:00,+10:00,2010-04-10 14:40:00,8878,16,Port Adelaide,Brisbane Lions,11,2022-01-25 11:05:42,0,12,100,2,13,Round 3,15,1270874400,Football Park,Brisbane Lions,108,3,2010,0,81,Full Time,2010
5.0,2010-04-10 19:10:00,+10:00,2010-04-10 19:10:00,8879,13,Carlton,Essendon,10,2022-01-25 11:05:42,0,17,100,5,3,Round 3,15,1270890600,M.C.G.,Essendon,95,3,2010,0,75,Full Time,2010
16.0,2010-04-10 19:10:00,+10:00,2010-04-10 19:10:00,8880,7,Sydney,Richmond,16,2022-01-25 11:05:42,0,14,100,14,16,Round 3,15,1270890600,S.C.G.,Sydney,56,3,2010,0,111,Full Time,2010
11.0,2010-04-11 13:10:00,+10:00,2010-04-11 13:10:00,8881,5,Melbourne,Adelaide,7,2022-01-25 11:05:42,0,11,100,1,11,Round 3,15,1270955400,M.C.G.,Melbourne,41,3,2010,0,57,Full Time,2010
18.0,2010-04-11 14:10:00,+10:00,2010-04-11 14:10:00,8882,12,Western Bulldogs,Hawthorn,14,2022-01-25 11:05:42,0,12,100,10,18,Round 3,16,1270959000,Docklands,Western Bulldogs,84,3,2010,0,100,Full Time,2010
6.0,2010-04-11 12:40:00,+10:00,2010-04-11 14:40:00,8883,17,Fremantle,Geelong,18,2022-01-25 11:05:42,0,16,100,7,6,Round 3,17,1270960800,Subiaco,Fremantle,118,3,2010,0,125,Full Time,2010
17.0,2010-04-16 16:40:00,+10:00,2010-04-16 18:40:00,8884,11,West Coast,Essendon,15,2022-01-25 11:05:42,0,12,100,5,17,Round 4,11,1271407200,Subiaco,West Coast,78,4,2010,0,101,Full Time,2010
16.0,2010-04-17 14:10:00,+10:00,2010-04-17 14:10:00,8885,14,North Melbourne,Sydney,8,2022-01-25 11:05:42,0,16,100,16,12,Round 4,12,1271477400,Docklands,Sydney,100,4,2010,0,60,Full Time,2010
3.0,2010-04-17 14:10:00,+10:00,2010-04-17 14:40:00,8886,16,Adelaide,Carlton,6,2022-01-25 11:05:42,0,7,100,3,1,Round 4,19,1271479200,Football Park,Carlton,103,4,2010,0,55,Full Time,2010
2.0,2010-04-17 19:10:00,+10:00,2010-04-17 19:10:00,8888,12,Brisbane Lions,Western Bulldogs,13,2022-01-25 11:05:42,0,7,100,18,2,Round 4,23,1271495400,Gabba,Brisbane Lions,79,4,2010,0,101,Full Time,2010
4.0,2010-04-17 19:10:00,+10:00,2010-04-17 19:10:00,8887,8,Collingwood,Hawthorn,17,2022-01-25 11:05:42,0,11,100,10,4,Round 4,21,1271495400,M.C.G.,Collingwood,59,4,2010,0,123,Full Time,2010
11.0,2010-04-18 13:10:00,+10:00,2010-04-18 13:10:00,8889,20,Richmond,Melbourne,11,2022-01-25 11:05:42,0,13,100,11,14,Round 4,12,1271560200,M.C.G.,Melbourne,133,4,2010,0,78,Full Time,2010
7.0,2010-04-18 14:10:00,+10:00,2010-04-18 14:10:00,8890,10,Geelong,Port Adelaide,23,2022-01-25 11:05:42,0,4,100,13,7,Round 4,21,1271563800,Kardinia Park,Geelong,64,4,2010,0,159,Full Time,2010
15.0,2010-04-18 16:40:00,+10:00,2010-04-18 16:40:00,8891,14,St Kilda,Fremantle,16,2022-01-25 11:05:42,0,9,100,6,15,Round 4,12,1271572800,Docklands,St Kilda,93,4,2010,0,108,Full Time,2010
18.0,2010-04-23 19:40:00,+10:00,2010-04-23 19:40:00,8892,10,Western Bulldogs,Adelaide,18,2022-01-25 11:05:42,0,12,100,1,18,Round 5,13,1272015600,Docklands,Western Bulldogs,72,5,2010,0,121,Full Time,2010
16.0,2010-04-24 14:15:00,+10:00,2010-04-24 14:15:00,8893,9,Sydney,West Coast,17,2022-01-25 11:05:42,0,9,100,17,16,Round 5,13,1272082500,S.C.G.,Sydney,63,5,2010,0,115,Full Time,2010
11.0,2010-04-24 19:10:00,+10:00,2010-04-24 19:10:00,8894,7,Melbourne,Brisbane Lions,15,2022-01-25 11:05:42,0,11,100,2,11,Round 5,13,1272100200,M.C.G.,Melbourne,53,5,2010,0,103,Full Time,2010
13.0,2010-04-24 18:45:00,+10:00,2010-04-24 19:15:00,8895,6,Port Adelaide,St Kilda,7,2022-01-25 11:05:42,0,8,100,15,13,Round 5,12,1272100500,Football Park,Port Adelaide,44,5,2010,0,54,Full Time,2010
4.0,2010-04-25 14:40:00,+10:00,2010-04-25 14:40:00,8896,8,Collingwood,Essendon,18,2022-01-25 11:05:42,0,7,100,5,4,Round 5,12,1272170400,M.C.G.,Collingwood,55,5,2010,0,120,Full Time,2010
12.0,2010-04-25 17:40:00,+10:00,2010-04-25 17:40:00,8897,12,Hawthorn,North Melbourne,10,2022-01-25 11:05:42,0,10,100,12,10,Round 5,10,1272181200,York Park,North Melbourne,82,5,2010,0,70,Full Time,2010
6.0,2010-04-25 16:45:00,+10:00,2010-04-25 18:45:00,8898,11,Fremantle,Richmond,15,2022-01-25 11:05:42,0,7,100,14,6,Round 5,22,1272185100,Subiaco,Fremantle,73,5,2010,0,112,Full Time,2010
3.0,2010-04-26 14:10:00,+10:00,2010-04-26 14:10:00,8899,9,Carlton,Geelong,15,2022-01-25 11:05:42,0,14,100,7,3,Round 5,14,1272255000,M.C.G.,Carlton,68,5,2010,0,104,Full Time,2010
15.0,2010-04-30 19:40:00,+10:00,2010-04-30 19:40:00,8900,7,Western Bulldogs,St Kilda,6,2022-01-25 11:05:42,0,7,100,15,18,Round 6,10,1272620400,Docklands,St Kilda,49,6,2010,0,46,Full Time,2010
12.0,2010-05-01 14:10:00,+10:00,2010-05-01 14:10:00,8901,12,North Melbourne,Melbourne,15,2022-01-25 11:05:42,0,6,100,11,12,Round 6,14,1272687000,Docklands,North Melbourne,78,6,2010,0,104,Full Time,2010
13.0,2010-05-01 14:10:00,+10:00,2010-05-01 14:40:00,8902,14,Adelaide,Port Adelaide,10,2022-01-25 11:05:42,0,13,100,13,1,Round 6,14,1272688800,Football Park,Port Adelaide,97,6,2010,0,74,Full Time,2010
5.0,2010-05-01 19:10:00,+10:00,2010-05-01 19:10:00,8903,9,Essendon,Hawthorn,15,2022-01-25 11:05:42,0,9,100,10,5,Round 6,16,1272705000,M.C.G.,Essendon,63,6,2010,0,106,Full Time,2010
16.0,2010-05-01 19:10:00,+10:00,2010-05-01 19:10:00,8904,13,Sydney,Brisbane Lions,16,2022-01-25 11:05:42,0,9,100,2,16,Round 6,11,1272705000,S.C.G.,Sydney,87,6,2010,0,107,Full Time,2010
